City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Kaitangata,NZ,-46.2817,169.8464,51.44,58,100,7.76,overcast clouds
79,Shu,KZ,43.5983,73.7614,36.07,45,1,6.55,clear sky
80,Kavieng,PG,-2.5744,150.7967,84.78,69,97,7.99,overcast clouds
81,Port Hawkesbury,CA,45.6169,-61.3485,47.79,93,75,13.8,broken clouds
82,Oyama,JP,36.3,139.8,53.49,25,28,14.58,scattered clouds
83,Namatanai,PG,-3.6667,152.4333,84.92,69,78,0.87,light rain
84,Touros,BR,-5.1989,-35.4608,79.03,80,5,11.1,clear sky
85,Arraial Do Cabo,BR,-22.9661,-42.0278,73.06,89,100,24.4,overcast clouds
86,Huangpu,CN,25.4433,113.1747,66.7,48,0,3.85,clear sky
87,Castro,BR,-24.7911,-50.0119,56.59,98,23,4.83,few clouds
88,Kruisfontein,ZA,-34.0033,24.7314,67.98,66,100,9.71,light rain
89,Carnarvon,AU,-24.8667,113.6333,95.07,29,0,17.27,clear sky
90,Hillsborough,US,37.5741,-122.3794,54.59,80,75,14.97,mist
91,Port Alfred,ZA,-33.5906,26.891,68.85,73,93,35.05,overcast clouds
92,Kodiak,US,57.79,-152.4072,15.31,62,75,0.0,broken clouds
93,Guerrero Negro,MX,27.9769,-114.0611,64.81,68,0,3.15,clear sky
94,Cockburn Town,TC,21.4612,-71.1419,78.8,64,77,8.19,broken clouds
95,Ilhabela,BR,-23.7781,-45.3581,71.44,88,13,5.46,few clouds
96,Sumbe,AO,-11.2061,13.8437,76.96,78,96,2.17,overcast clouds
97,La Ronge,CA,55.1001,-105.2842,35.85,60,75,9.22,broken clouds
98,Dudinka,RU,69.4058,86.1778,-0.87,96,100,12.28,overcast clouds
99,Vytegra,RU,61.0064,36.4481,13.19,95,97,3.36,overcast clouds
100,Mahebourg,MU,-20.4081,57.7,82.69,57,20,11.5,few clouds
101,Yumen,CN,40.2833,97.2,40.89,16,47,11.83,scattered clouds
102,Severo-Kurilsk,RU,50.6789,156.125,34.3,85,99,7.99,overcast clouds
103,Qaanaaq,GL,77.484,-69.3632,5.11,96,100,10.94,light snow
104,Skibbereen,IE,51.55,-9.2667,39.0,60,1,25.37,clear sky
105,Sandy Bay,AU,-42.913,147.3532,66.09,42,20,11.5,few clouds
106,Vostok,RU,46.4856,135.8833,20.5,89,100,4.52,overcast clouds
107,Nikolskoye,RU,59.7035,30.7861,26.49,81,100,5.7,overcast clouds
108,Saint-Francois,FR,46.4154,3.9054,36.84,93,90,5.75,overcast clouds
109,Yellowknife,CA,62.456,-114.3525,5.52,85,90,17.27,light snow
110,Saldanha,ZA,-33.0117,17.9442,59.05,84,31,23.67,scattered clouds
111,Slave Lake,CA,55.2834,-114.769,30.18,47,1,21.85,clear sky
112,Tiksi,RU,71.6872,128.8694,-3.24,97,100,5.44,overcast clouds
113,Akyab,MM,20.15,92.9,82.4,55,9,4.81,clear sky
114,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,68,20,12.66,few clouds
115,Saskylakh,RU,71.9167,114.0833,-12.84,96,91,6.13,overcast clouds
116,Airai,TL,-8.9266,125.4092,71.92,72,100,1.57,overcast clouds
117,Victoria,HK,22.2855,114.1577,76.96,47,88,7.05,overcast clouds
118,Vaini,TO,-21.2,-175.2,82.56,89,75,5.75,light rain
119,Thinadhoo,MV,0.5333,72.9333,81.73,70,16,15.46,few clouds
120,Loa Janan,ID,-0.583,117.095,84.7,79,97,0.81,overcast clouds
121,Bubaque,GW,11.2833,-15.8333,82.89,72,100,7.11,overcast clouds
122,Tiznit,MA,29.5833,-9.5,51.67,85,79,6.13,broken clouds
123,Rocha,UY,-34.4833,-54.3333,61.77,98,37,4.59,scattered clouds
124,Erenhot,CN,43.6475,111.9767,35.15,61,0,8.81,clear sky
125,Santa Rosa,PH,14.3122,121.1114,89.58,70,100,14.52,overcast clouds
126,Fare,PF,-16.7,-151.0167,81.18,71,6,17.27,clear sky
127,Khani,GE,41.9563,42.9566,40.57,61,56,6.35,broken clouds
128,Makakilo City,US,21.3469,-158.0858,73.72,62,1,4.61,clear sky
129,Skibotn,NO,69.3913,20.2679,14.09,90,94,10.98,overcast clouds
130,Karratha,AU,-20.7377,116.8463,96.64,23,0,16.8,clear sky
131,Hilo,US,19.7297,-155.09,71.33,78,20,4.61,few clouds
132,Mitu,CO,1.1983,-70.1733,74.25,90,100,1.99,overcast clouds
133,Roma,US,43.2128,-75.4557,30.34,80,90,11.5,overcast clouds
134,Mehamn,NO,71.0357,27.8492,21.42,70,91,15.61,overcast clouds
135,Gouyave,GD,12.1646,-61.7296,79.3,81,100,9.04,overcast clouds
136,Aleppo,SY,36.25,37.5,57.65,66,30,3.38,scattered clouds
137,Nizhniy Kuranakh,RU,58.8353,125.4869,14.76,78,100,12.82,overcast clouds
138,Saint George,US,37.1041,-113.5841,45.19,31,1,0.0,clear sky
139,Waipawa,NZ,-41.4122,175.5153,56.03,79,99,6.31,overcast clouds
140,Chuy,UY,-33.6971,-53.4616,67.53,79,39,13.29,scattered clouds
141,Nome,US,64.5011,-165.4064,-5.73,59,20,3.44,few clouds
142,Oranjemund,NA,-28.55,16.4333,64.13,63,48,21.72,scattered clouds
143,Anloga,GH,5.7947,0.8973,79.02,78,32,7.56,scattered clouds
144,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.19,87,16,8.03,few clouds
145,Talcahuano,CL,-36.7167,-73.1167,53.28,76,0,10.36,clear sky
146,Jadu,LY,31.953,12.0261,59.85,28,85,21.63,overcast clouds
147,Pevek,RU,69.7008,170.3133,-26.3,98,15,3.11,few clouds
148,Rio Gallegos,AR,-51.6226,-69.2181,50.05,43,75,12.66,broken clouds
149,Lagoa,PT,39.05,-27.9833,61.79,61,24,11.86,few clouds
150,Vestmanna,FO,62.1564,-7.1664,31.12,51,40,20.71,scattered clouds
151,Iquitos,PE,-3.7481,-73.2472,77.04,94,20,0.0,few clouds
152,Manokwari,ID,-0.8667,134.0833,83.79,72,95,8.59,overcast clouds
153,Atuona,PF,-9.8,-139.0333,78.39,79,14,18.95,light rain
154,Luebo,CD,-5.35,21.4167,70.2,86,75,2.53,broken clouds
155,Cuiaba,BR,-15.5961,-56.0967,78.73,83,0,6.91,clear sky
