City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Bredasdorp,ZA,2021-11-23 19:34:12,-34.5322,20.0403,58.28,76,55,3.53
59,Rio Gallegos,AR,2021-11-23 19:43:53,-51.6226,-69.2181,62.65,34,40,41.43
60,Khatanga,RU,2021-11-23 19:34:10,71.9667,102.5,0.43,80,94,18.16
61,Lebu,CL,2021-11-23 19:43:54,-37.6167,-73.65,60.93,70,0,16.35
62,Ilhabela,BR,2021-11-23 19:43:54,-23.7781,-45.3581,78.71,62,39,3.2
63,Tiksi,RU,2021-11-23 19:43:55,71.6872,128.8694,-20.65,97,62,6.62
64,Tezu,IN,2021-11-23 19:43:55,27.9167,96.1667,61.84,77,76,3.31
65,Shakawe,BW,2021-11-23 19:43:56,-18.3667,21.85,77.04,19,51,4.16
66,Souillac,MU,2021-11-23 19:39:16,-20.5167,57.5167,75.58,78,40,2.3
67,Carnarvon,AU,2021-11-23 19:39:17,-24.8667,113.6333,68.07,83,0,12.66
68,Kloulklubed,PW,2021-11-23 19:43:57,7.0419,134.2556,79.3,75,67,14.88
69,Novichikha,RU,2021-11-23 19:43:57,52.204,81.3877,29.79,84,99,17.72
70,Lavrentiya,RU,2021-11-23 19:40:37,65.5833,-171.0,-0.45,89,15,9.17
71,Hambantota,LK,2021-11-23 19:40:38,6.1241,81.1185,77.68,86,100,5.23
72,Ponta Do Sol,PT,2021-11-23 19:39:23,32.6667,-17.1,68.63,76,100,3.58
73,Bambanglipuro,ID,2021-11-23 19:43:58,-7.95,110.2833,75.87,93,100,7.54
74,Hithadhoo,MV,2021-11-23 19:43:59,-0.6,73.0833,82.24,75,99,18.48
75,Aswan,EG,2021-11-23 19:43:59,24.0934,32.907,69.1,37,0,10.36
76,Mahebourg,MU,2021-11-23 19:44:00,-20.4081,57.7,75.49,78,40,2.3
77,Cabo San Lucas,MX,2021-11-23 19:33:02,22.8909,-109.9124,85.6,66,20,3.0
78,Wanaka,NZ,2021-11-23 19:44:01,-44.7,169.15,54.7,75,92,1.83
79,Klyuchi,RU,2021-11-23 19:44:01,52.2667,79.1667,27.36,84,82,16.28
80,Honolulu,US,2021-11-23 19:41:32,21.3069,-157.8583,82.89,64,20,10.36
81,Deniliquin,AU,2021-11-23 19:44:02,-35.5333,144.9667,64.0,94,100,7.67
82,Kohat,PK,2021-11-23 19:44:02,33.582,71.4493,51.87,25,6,2.82
83,Upernavik,GL,2021-11-23 19:40:43,72.7868,-56.1549,0.03,68,1,8.66
84,Labuhan,ID,2021-11-23 19:44:03,-6.8844,112.2051,78.21,87,100,7.96
85,Castro,BR,2021-11-23 19:39:18,-24.7911,-50.0119,83.48,41,9,0.65
86,Soubre,CI,2021-11-23 19:44:04,5.7856,-6.6083,76.96,90,91,4.9
87,Vaini,TO,2021-11-23 19:34:07,-21.2,-175.2,78.96,83,40,0.0
88,Severo-Kurilsk,RU,2021-11-23 19:38:58,50.6789,156.125,37.9,97,100,29.97
89,Pacific Grove,US,2021-11-23 19:44:04,36.6177,-121.9166,68.58,64,1,5.99
90,East London,ZA,2021-11-23 19:40:50,-33.0153,27.9116,61.65,72,55,19.84
91,Thompson,CA,2021-11-23 19:44:05,55.7435,-97.8558,1.56,78,90,10.36
92,Atar,MR,2021-11-23 19:44:05,20.5169,-13.0499,85.3,27,79,9.01
93,Puerto Quijarro,BO,2021-11-23 19:44:06,-17.7833,-57.7667,88.47,61,100,0.94
94,Ponca City,US,2021-11-23 19:45:06,36.707,-97.0856,71.42,33,1,8.01
95,Ukiah,US,2021-11-23 19:45:07,39.1502,-123.2078,63.45,60,1,5.75
96,Port Alfred,ZA,2021-11-23 19:45:07,-33.5906,26.891,62.73,66,100,20.27
97,Fonte Boa,BR,2021-11-23 19:45:07,-2.4959,-66.2662,78.91,96,100,3.27
98,Kodiak,US,2021-11-23 19:45:08,57.79,-152.4072,8.11,61,75,6.91
99,Ribeira Grande,PT,2021-11-23 19:45:08,38.5167,-28.7,68.4,94,20,16.11
100,Bluff,NZ,2021-11-23 19:36:48,-46.6,168.3333,53.98,76,100,12.01
101,Santa Cecilia,BR,2021-11-23 19:45:09,-26.9608,-50.4269,83.32,42,48,5.17
102,Pisco,PE,2021-11-23 19:42:38,-13.7,-76.2167,68.05,77,0,13.8
103,Wamba,NG,2021-11-23 19:45:09,8.9333,8.6,79.45,33,53,3.71
104,La Serena,CL,2021-11-23 19:45:10,-29.9078,-71.2542,63.91,67,75,12.66
105,Taoudenni,ML,2021-11-23 19:38:04,22.6783,-3.9836,83.95,27,64,9.91
106,Jamestown,US,2021-11-23 19:40:11,42.097,-79.2353,33.71,75,90,7.0
107,Vao,NC,2021-11-23 19:45:11,-22.6667,167.4833,74.61,72,100,11.56
